PROBLEM NAME:  W5-TTP
SOLUTIONS PER GENERATION: 100
CITIES: 5
ITEMS: 4
ITEMS PER CITY: 1
EVOLUTIONS: 100
TOURNAMENT SIZE: 50
PARENTS PER GENERATIONS: 4
LOCAL SEARCH PROBABILITY: 0.200000


INITIAL POPULATION FOR  W5-TTP
RUNTIME: 0.000298 ms
Individual 0: 1, 2[0], 3[0], 4[0], 5[0], 1 Profit: -116.767748 - Revenue: 0.000000 - Time: 46.707099 - Distance: 17.204651
Individual 1: 1, 5[1], 2[0], 4[0], 3[1], 1 Profit: 29.396777 - Revenue: 330.000000 - Time: 120.241289 - Distance: 29.732137
Individual 2: 1, 5[1], 2[0], 3[1], 4[1], 1 Profit: -16380.000000 - Revenue: -380.000000 - Time: 6400.000000 - Distance: 640.000000
Individual 3: 1, 2[1], 3[1], 5[1], 4[1], 1 Profit: -16470.000000 - Revenue: -420.000000 - Time: 6420.000000 - Distance: 642.000000
Individual 4: 1, 2[1], 3[0], 4[1], 5[1], 1 Profit: -26.334155 - Revenue: 120.000000 - Time: 58.533662 - Distance: 17.204651
Individual 5: 1, 5[1], 3[1], 4[1], 2[1], 1 Profit: -16470.000000 - Revenue: -420.000000 - Time: 6420.000000 - Distance: 642.000000
Individual 6: 1, 3[0], 2[1], 5[1], 4[0], 1 Profit: -94.640898 - Revenue: 70.000000 - Time: 65.856359 - Distance: 34.058773
Individual 7: 1, 3[1], 5[1], 4[0], 2[0], 1 Profit: -195.579394 - Revenue: 330.000000 - Time: 210.231758 - Distance: 15.620499
Individual 8: 1, 2[1], 4[0], 5[1], 3[1], 1 Profit: 80.403418 - Revenue: 370.000000 - Time: 115.838633 - Distance: 29.732137
Individual 9: 1, 2[0], 5[0], 4[1], 3[1], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 10: 1, 5[1], 3[1], 4[1], 2[0], 1 Profit: -16380.000000 - Revenue: -380.000000 - Time: 6400.000000 - Distance: 640.000000
Individual 11: 1, 5[1], 2[0], 4[0], 3[1], 1 Profit: 29.396777 - Revenue: 330.000000 - Time: 120.241289 - Distance: 29.732137
Individual 12: 1, 5[0], 4[0], 3[1], 2[0], 1 Profit: 50.697621 - Revenue: 300.000000 - Time: 99.720951 - Distance: 15.620499
Individual 13: 1, 5[1], 3[0], 2[0], 4[1], 1 Profit: -120.143878 - Revenue: 80.000000 - Time: 80.057551 - Distance: 34.058773
Individual 14: 1, 5[1], 3[0], 2[1], 4[1], 1 Profit: -80.817960 - Revenue: 120.000000 - Time: 80.327184 - Distance: 34.058773
Individual 15: 1, 5[0], 2[1], 4[1], 3[0], 1 Profit: -95.465985 - Revenue: 90.000000 - Time: 74.186394 - Distance: 29.732137
Individual 16: 1, 4[1], 5[1], 2[1], 3[1], 1 Profit: -16470.000000 - Revenue: -420.000000 - Time: 6420.000000 - Distance: 642.000000
Individual 17: 1, 2[1], 5[1], 3[1], 4[0], 1 Profit: -6.458370 - Revenue: 370.000000 - Time: 150.583348 - Distance: 34.058773
Individual 18: 1, 3[1], 5[1], 2[0], 4[0], 1 Profit: -319.674831 - Revenue: 330.000000 - Time: 259.869933 - Distance: 34.058773
Individual 19: 1, 5[1], 3[0], 4[0], 2[1], 1 Profit: -64.830736 - Revenue: 70.000000 - Time: 53.932295 - Distance: 15.620499
Individual 20: 1, 4[0], 5[0], 2[1], 3[1], 1 Profit: 83.348323 - Revenue: 340.000000 - Time: 102.660671 - Distance: 29.732137
Individual 21: 1, 5[1], 4[1], 2[0], 3[1], 1 Profit: -16380.000000 - Revenue: -380.000000 - Time: 6400.000000 - Distance: 640.000000
Individual 22: 1, 2[0], 3[1], 5[1], 4[0], 1 Profit: -96.224638 - Revenue: 330.000000 - Time: 170.489855 - Distance: 34.058773
Individual 23: 1, 4[0], 5[1], 2[0], 3[1], 1 Profit: 24.813533 - Revenue: 330.000000 - Time: 122.074587 - Distance: 29.732137
Individual 24: 1, 5[1], 4[0], 3[1], 2[0], 1 Profit: 13.586926 - Revenue: 330.000000 - Time: 126.565229 - Distance: 15.620499
Individual 25: 1, 4[0], 2[0], 5[0], 3[1], 1 Profit: 35.365234 - Revenue: 300.000000 - Time: 105.853906 - Distance: 29.732137
Individual 26: 1, 3[1], 5[1], 4[1], 2[0], 1 Profit: -16380.000000 - Revenue: -380.000000 - Time: 6400.000000 - Distance: 640.000000
Individual 27: 1, 4[1], 3[1], 2[0], 5[1], 1 Profit: -16380.000000 - Revenue: -380.000000 - Time: 6400.000000 - Distance: 640.000000
Individual 28: 1, 2[0], 5[1], 4[0], 3[1], 1 Profit: 59.558164 - Revenue: 330.000000 - Time: 108.176734 - Distance: 29.732137
Individual 29: 1, 5[1], 4[0], 2[1], 3[1], 1 Profit: 57.611556 - Revenue: 370.000000 - Time: 124.955378 - Distance: 29.732137
Individual 30: 1, 5[1], 3[1], 4[1], 2[1], 1 Profit: -16470.000000 - Revenue: -420.000000 - Time: 6420.000000 - Distance: 642.000000
Individual 31: 1, 4[1], 3[0], 2[1], 5[0], 1 Profit: -109.245205 - Revenue: 90.000000 - Time: 79.698082 - Distance: 17.204651
Individual 32: 1, 5[0], 3[0], 2[1], 4[1], 1 Profit: -94.791368 - Revenue: 90.000000 - Time: 73.916547 - Distance: 34.058773
Individual 33: 1, 2[0], 5[0], 4[1], 3[1], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 34: 1, 3[1], 4[0], 5[0], 2[0], 1 Profit: -52.775895 - Revenue: 300.000000 - Time: 141.110358 - Distance: 15.620499
Individual 35: 1, 2[1], 5[0], 4[1], 3[0], 1 Profit: -69.145445 - Revenue: 90.000000 - Time: 63.658178 - Distance: 29.732137
Individual 36: 1, 4[0], 5[0], 3[0], 2[1], 1 Profit: -94.045937 - Revenue: 40.000000 - Time: 53.618375 - Distance: 15.620499
Individual 37: 1, 4[1], 5[0], 3[0], 2[1], 1 Profit: -95.561557 - Revenue: 90.000000 - Time: 74.224623 - Distance: 15.620499
Individual 38: 1, 2[1], 3[0], 5[1], 4[1], 1 Profit: -48.840915 - Revenue: 120.000000 - Time: 67.536366 - Distance: 34.058773
Individual 39: 1, 4[1], 5[1], 3[0], 2[1], 1 Profit: -79.282783 - Revenue: 120.000000 - Time: 79.713113 - Distance: 15.620499
Individual 40: 1, 5[1], 2[0], 4[1], 3[0], 1 Profit: -121.944552 - Revenue: 80.000000 - Time: 80.777821 - Distance: 29.732137
Individual 41: 1, 4[1], 2[1], 5[0], 3[0], 1 Profit: -150.925141 - Revenue: 90.000000 - Time: 96.370056 - Distance: 29.732137
Individual 42: 1, 2[0], 5[0], 3[0], 4[0], 1 Profit: -126.083789 - Revenue: 0.000000 - Time: 50.433515 - Distance: 34.058773
Individual 43: 1, 4[0], 5[1], 3[0], 2[1], 1 Profit: -69.413980 - Revenue: 70.000000 - Time: 55.765592 - Distance: 15.620499
Individual 44: 1, 5[0], 4[1], 2[0], 3[1], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 45: 1, 3[1], 2[0], 5[0], 4[0], 1 Profit: -173.145372 - Revenue: 300.000000 - Time: 189.258149 - Distance: 34.058773
Individual 46: 1, 2[0], 4[1], 5[1], 3[0], 1 Profit: -117.409540 - Revenue: 80.000000 - Time: 78.963816 - Distance: 29.732137
Individual 47: 1, 4[1], 2[1], 3[0], 5[1], 1 Profit: -111.457904 - Revenue: 120.000000 - Time: 92.583162 - Distance: 17.204651
Individual 48: 1, 5[1], 3[1], 4[0], 2[1], 1 Profit: -93.120222 - Revenue: 370.000000 - Time: 185.248089 - Distance: 15.620499
Individual 49: 1, 2[0], 4[0], 3[1], 5[1], 1 Profit: 76.517180 - Revenue: 330.000000 - Time: 101.393128 - Distance: 17.204651
Individual 50: 1, 4[1], 3[1], 2[1], 5[0], 1 Profit: -15440.000000 - Revenue: -390.000000 - Time: 6020.000000 - Distance: 602.000000
Individual 51: 1, 4[1], 3[0], 5[1], 2[1], 1 Profit: -62.121203 - Revenue: 120.000000 - Time: 72.848481 - Distance: 15.620499
Individual 52: 1, 2[1], 5[0], 4[0], 3[0], 1 Profit: -85.919191 - Revenue: 40.000000 - Time: 50.367676 - Distance: 29.732137
Individual 53: 1, 5[1], 2[1], 3[0], 4[1], 1 Profit: -61.752041 - Revenue: 120.000000 - Time: 72.700816 - Distance: 34.058773
Individual 54: 1, 3[1], 2[0], 5[1], 4[1], 1 Profit: -16380.000000 - Revenue: -380.000000 - Time: 6400.000000 - Distance: 640.000000
Individual 55: 1, 5[0], 4[1], 2[1], 3[1], 1 Profit: -15440.000000 - Revenue: -390.000000 - Time: 6020.000000 - Distance: 602.000000
Individual 56: 1, 3[1], 5[0], 4[0], 2[1], 1 Profit: -76.966856 - Revenue: 340.000000 - Time: 166.786743 - Distance: 15.620499
Individual 57: 1, 5[1], 3[0], 4[1], 2[1], 1 Profit: -60.201284 - Revenue: 120.000000 - Time: 72.080514 - Distance: 15.620499
Individual 58: 1, 2[0], 3[1], 5[1], 4[1], 1 Profit: -16380.000000 - Revenue: -380.000000 - Time: 6400.000000 - Distance: 640.000000
Individual 59: 1, 3[1], 2[1], 4[1], 5[1], 1 Profit: -16470.000000 - Revenue: -420.000000 - Time: 6420.000000 - Distance: 642.000000
Individual 60: 1, 2[1], 5[0], 3[1], 4[1], 1 Profit: -15440.000000 - Revenue: -390.000000 - Time: 6020.000000 - Distance: 602.000000
Individual 61: 1, 2[1], 5[1], 3[1], 4[1], 1 Profit: -16470.000000 - Revenue: -420.000000 - Time: 6420.000000 - Distance: 642.000000
Individual 62: 1, 2[1], 3[1], 4[1], 5[0], 1 Profit: -15440.000000 - Revenue: -390.000000 - Time: 6020.000000 - Distance: 602.000000
Individual 63: 1, 2[0], 3[0], 5[0], 4[1], 1 Profit: -107.922966 - Revenue: 50.000000 - Time: 63.169186 - Distance: 34.058773
Individual 64: 1, 5[0], 4[1], 2[1], 3[0], 1 Profit: -135.547728 - Revenue: 90.000000 - Time: 90.219091 - Distance: 29.732137
Individual 65: 1, 3[0], 2[1], 5[1], 4[1], 1 Profit: -74.017027 - Revenue: 120.000000 - Time: 77.606811 - Distance: 34.058773
Individual 66: 1, 2[1], 5[0], 3[1], 4[1], 1 Profit: -15440.000000 - Revenue: -390.000000 - Time: 6020.000000 - Distance: 602.000000
Individual 67: 1, 3[0], 2[1], 4[1], 5[0], 1 Profit: -94.982510 - Revenue: 90.000000 - Time: 73.993004 - Distance: 17.204651
Individual 68: 1, 3[1], 5[0], 2[0], 4[1], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 69: 1, 4[1], 3[0], 5[0], 2[0], 1 Profit: -123.058345 - Revenue: 50.000000 - Time: 69.223338 - Distance: 15.620499
Individual 70: 1, 3[0], 4[0], 5[0], 2[0], 1 Profit: -125.536174 - Revenue: 0.000000 - Time: 50.214470 - Distance: 15.620499
Individual 71: 1, 3[0], 2[0], 4[1], 5[0], 1 Profit: -134.426043 - Revenue: 50.000000 - Time: 73.770417 - Distance: 17.204651
Individual 72: 1, 3[1], 2[0], 5[1], 4[1], 1 Profit: -16380.000000 - Revenue: -380.000000 - Time: 6400.000000 - Distance: 640.000000
Individual 73: 1, 3[1], 4[0], 2[0], 5[1], 1 Profit: -143.374764 - Revenue: 330.000000 - Time: 189.349906 - Distance: 17.204651
Individual 74: 1, 3[0], 2[1], 5[0], 4[0], 1 Profit: -119.565011 - Revenue: 40.000000 - Time: 63.826004 - Distance: 34.058773
Individual 75: 1, 2[1], 3[1], 5[0], 4[0], 1 Profit: -9.899124 - Revenue: 340.000000 - Time: 139.959650 - Distance: 34.058773
Individual 76: 1, 2[1], 4[0], 5[0], 3[1], 1 Profit: 99.135536 - Revenue: 340.000000 - Time: 96.345786 - Distance: 29.732137
Individual 77: 1, 5[0], 2[0], 3[1], 4[1], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
